OOS,IS,Avalible,time
5,20,22,21:44:38
0,41,100,21:44:49
2,132,94,21:45:02
3,129,94,21:45:13
4,172,96,21:45:24
2,10,24,21:45:36
1,153,99,21:45:47
3,80,88,21:46:00
4,138,91,21:46:11
3,102,95,21:46:23
7,104,88,21:46:35
3,111,94,21:46:47
0,78,100,21:46:58
2,91,95,21:47:10
0,73,100,21:47:21
4,98,91,21:47:33
3,75,80,21:47:44
3,115,96,21:47:56
2,145,98,21:48:08
4,124,95,21:48:20
7,121,81,21:48:33
7,117,91,21:48:44
9,23,49,21:48:57
5,50,78,21:49:09
2,51,84,21:49:20
10,56,82,21:49:32
4,92,83,21:49:44
2,120,98,21:49:57
4,140,95,21:50:08
2,99,91,21:50:21
5,104,91,21:50:33
5,89,95,21:50:45
9,25,22,21:50:56
7,73,69,21:51:09
10,44,52,21:51:21
5,4,6,21:51:32
9,16,14,21:51:45
10,31,31,21:51:56
7,63,59,21:52:08
6,55,68,21:52:19
6,140,91,21:52:31
4,5,17,21:52:43
5,20,22,21:52:55
0,41,100,21:53:07
2,132,94,21:53:19
3,129,94,21:53:30
4,172,96,21:53:42
2,10,24,21:53:53
1,153,99,21:54:05
3,80,88,21:54:16
4,138,91,21:54:28
3,102,95,21:54:40
7,104,88,21:54:51
3,111,94,21:55:03
0,78,100,21:55:14
2,91,95,21:55:26
0,73,100,21:55:37
4,98,91,21:55:48
3,75,80,21:56:00
3,115,96,21:56:11
2,145,98,21:56:23
4,124,95,21:56:35
7,121,81,21:56:47
7,117,91,21:56:59
9,23,49,21:57:11
5,50,78,21:57:23
2,51,84,21:57:35
